V_vs_Li,Q_mAh
0.0991934,0.186291
0.099266,0.186519
0.0992853,0.186748
0.0992416,0.186976
0.0992779,0.187204
0.0993187,0.187433
0.0993083,0.187661
0.0993142,0.187889
0.099381,0.188117
0.0993647,0.188346
0.0994136,0.188574
0.0994492,0.188802
0.0994173,0.189031
0.0994203,0.189259
0.0994329,0.189487
0.0994425,0.189716
0.0995345,0.189944
0.0994818,0.190172
0.0995285,0.1904
0.0995404,0.190629
0.0996034,0.190857
0.099573,0.191085
0.0996123,0.191314
0.0995982,0.191542
0.0996235,0.19177
0.0996368,0.191998
0.099642,0.192227
0.0996709,0.192455
0.0996924,0.192683
0.0997302,0.192912
0.0997132,0.19314
0.0997354,0.193368
0.0997777,0.193597
0.0998326,0.193825
0.0998622,0.194053
0.0998051,0.194281
0.0998704,0.19451
0.0999001,0.194738
0.0998526,0.194966
0.0999127,0.195195
0.099929,0.195423
0.0999749,0.195651
0.0999357,0.19588
0.100014,0.196108
0.100049,0.196336
0.0999868,0.196565
0.099992,0.196793
0.100054,0.197021
0.100078,0.197249
0.100087,0.197478
0.100154,0.197706
0.100141,0.197934
0.100133,0.198163
0.100194,0.198391
0.100168,0.198619
0.100166,0.198848
0.100245,0.199076
0.100198,0.199304
0.100231,0.199532
0.100276,0.199761
0.100256,0.199989
0.100295,0.200217
0.100345,0.200446
0.100344,0.200674
0.100337,0.200902
0.100357,0.20113
0.10042,0.201359
0.10037,0.201587
0.100432,0.201815
0.100471,0.202044
0.100431,0.202272
0.10048,0.2025
0.10048,0.202729
0.100533,0.202957
0.100523,0.203185
0.10057,0.203413
0.100556,0.203642
0.100561,0.20387
0.100629,0.204098
0.100662,0.204327
0.10066,0.204555
0.100674,0.204783
0.100667,0.205012
0.10068,0.20524
0.100685,0.205468
0.100694,0.205696
0.100745,0.205925
0.100786,0.206153
0.100748,0.206381
0.100817,0.20661
0.100765,0.206838
0.100863,0.207066
0.10082,0.207295
0.10084,0.207523
0.100917,0.207751
0.100886,0.207979
0.100877,0.208208
0.100912,0.208436
0.10094,0.208664
0.10094,0.208893
0.100947,0.209121
0.100998,0.209349
0.100995,0.209578
0.101046,0.209806
0.101034,0.210034
0.101087,0.210262
0.101038,0.210491
0.101087,0.210719
0.101132,0.210947
0.101135,0.211176
0.101092,0.211404
0.101184,0.211632
0.10113,0.21186
0.101213,0.212089
0.101204,0.212317
0.101182,0.212545
0.101264,0.212774
0.101265,0.213002
0.101238,0.21323
0.10125,0.213458
0.101286,0.213687
0.10128,0.213915
0.101368,0.214143
0.101324,0.214372
0.101359,0.2146
0.101373,0.214828
0.101422,0.215057
0.101405,0.215285
0.101431,0.215513
0.101477,0.215742
0.10144,0.21597
0.101488,0.216198
0.101479,0.216426
0.101531,0.216655
0.101569,0.216883
0.101529,0.217111
0.101569,0.21734
0.101581,0.217568
0.101622,0.217796
0.101647,0.218025
0.101644,0.218253
0.101641,0.218481
0.101705,0.218709
0.101663,0.218938
0.101721,0.219166
0.101719,0.219394
0.101735,0.219623
0.101765,0.219851
0.101758,0.220079
0.101782,0.220307
0.10178,0.220536
0.101815,0.220764
0.101828,0.220992
0.101834,0.221221
0.101874,0.221449
0.101852,0.221677
0.101872,0.221906
0.101881,0.222134
0.101937,0.222362
0.101904,0.22259
0.101921,0.222819
0.101953,0.223047
0.101964,0.223275
0.102016,0.223504
0.102018,0.223732
0.102048,0.22396
0.102061,0.224189
0.10204,0.224417
0.102115,0.224645
0.102117,0.224873
0.102119,0.225102
0.102121,0.22533
0.102157,0.225558
0.102151,0.225787
0.10214,0.226015
0.102197,0.226243
0.102151,0.226472
0.102173,0.2267
0.102258,0.226928
0.102286,0.227156
0.102291,0.227385
0.102254,0.227613
0.102291,0.227841
0.102336,0.22807
0.102298,0.228298
0.102349,0.228526
0.102378,0.228754
0.102382,0.228983
0.102365,0.229211
0.10238,0.229439
0.102425,0.229668
0.102442,0.229896
0.102439,0.230124
0.102481,0.230353
0.10245,0.230581
0.102493,0.230809
0.102492,0.231037
0.102532,0.231266
0.102493,0.231494
0.102519,0.231722
0.102587,0.231951
0.10255,0.232179
0.102623,0.232407
0.10259,0.232635
0.102649,0.232864
0.102604,0.233092
0.102688,0.23332
0.102684,0.233549
0.102728,0.233777
0.102674,0.234005
0.102715,0.234234
0.102712,0.234462
0.102754,0.23469
0.102725,0.234918
0.102749,0.235147
0.102786,0.235375
0.102812,0.235603
0.10278,0.235832
0.10285,0.23606
0.102891,0.236288
0.102826,0.236517
0.102868,0.236745
0.102869,0.236973
0.102929,0.237201
0.102954,0.23743
0.102942,0.237658
0.102918,0.237886
0.102926,0.238115
0.102979,0.238343
0.103027,0.238571
0.103005,0.2388
0.103017,0.239028
0.103024,0.239256
0.103027,0.239484
0.103039,0.239713
0.103078,0.239941
0.103132,0.240169
0.103147,0.240398
0.103179,0.240626
0.103116,0.240854
0.103141,0.241083
0.103191,0.241311
0.103172,0.241539
0.103206,0.241767
0.103198,0.241996
0.103277,0.242224
0.103236,0.242452
0.103315,0.242681
0.103327,0.242909
0.103339,0.243137
0.103295,0.243365
0.10337,0.243594
0.103327,0.243822
0.103335,0.24405
0.103363,0.244279
0.103365,0.244507
0.103422,0.244735
0.103477,0.244964
0.103477,0.245192
0.103494,0.24542
0.103531,0.245648
0.1035,0.245877
0.103493,0.246105
0.103527,0.246333
0.103548,0.246562
0.103591,0.24679
0.103542,0.247018
0.103543,0.247247
0.103603,0.247475
0.103669,0.247703
0.103637,0.247931
0.103625,0.24816
0.103629,0.248388
0.103644,0.248616
0.10373,0.248845
0.103746,0.249073
0.103766,0.249301
0.103721,0.249529
0.103726,0.249758
0.103737,0.249986
0.103818,0.250214
0.10379,0.250443
0.10381,0.250671
0.10387,0.250899
0.10384,0.251127
0.103854,0.251356
0.103913,0.251584
0.10396,0.251812
0.103948,0.252041
0.103947,0.252269
0.103929,0.252497
0.103975,0.252726
0.104041,0.252954
0.104056,0.253182
0.103999,0.25341
0.104057,0.253639
0.104042,0.253867
0.104107,0.254095
0.104103,0.254324
0.104103,0.254552
0.10411,0.25478
0.104163,0.255009
0.104217,0.255237
0.104181,0.255465
0.104228,0.255693
0.104251,0.255922
0.104291,0.25615
0.104226,0.256378
0.104244,0.256607
0.104266,0.256835
0.104277,0.257063
0.104354,0.257292
0.104362,0.25752
0.104369,0.257748
0.104429,0.257976
0.104389,0.258205
0.104431,0.258433
0.104413,0.258661
0.104447,0.25889
0.104473,0.259118
0.104466,0.259346
0.104524,0.259575
0.104498,0.259803
0.104535,0.260031
0.104614,0.260259
0.104545,0.260488
0.104585,0.260716
0.104607,0.260944
0.104665,0.261173
0.104676,0.261401
0.104658,0.261629
0.104677,0.261858
0.104694,0.262086
0.104708,0.262314
0.104723,0.262542
0.104776,0.262771
0.104776,0.262999
0.104829,0.263227
0.104836,0.263456
0.10484,0.263684
0.104842,0.263912
0.104855,0.264141
0.104873,0.264369
0.104938,0.264597
0.104947,0.264825
0.104957,0.265054
0.105,0.265282
0.105036,0.26551
0.105054,0.265739
0.105008,0.265967
0.105014,0.266195
0.105037,0.266424
0.105115,0.266652
0.105146,0.26688
0.105111,0.267108
0.105184,0.267337
0.105142,0.267565
0.105161,0.267793
0.105258,0.268021
0.10525,0.26825
0.105256,0.268478
0.105313,0.268706
0.105316,0.268935
0.105304,0.269163
0.10534,0.269391
0.105343,0.26962
0.105395,0.269848
0.105408,0.270076
0.105427,0.270304
0.105427,0.270533
0.105458,0.270761
0.105489,0.270989
0.105508,0.271218
0.105539,0.271446
0.105559,0.271674
0.105552,0.271903
0.105576,0.272131
0.105608,0.272359
0.105657,0.272587
0.105674,0.272816
0.1057,0.273044
0.105716,0.273272
0.105737,0.273501
0.105728,0.273729
0.105729,0.273957
0.105822,0.274186
0.105796,0.274414
0.105869,0.274642
0.105837,0.27487
0.105843,0.275099
0.105926,0.275327
0.105949,0.275555
0.105913,0.275784
0.105954,0.276012
0.106024,0.27624
0.106056,0.276469
0.105997,0.276697
0.106018,0.276925
0.106118,0.277153
0.106132,0.277382
0.106133,0.27761
0.106136,0.277838
0.106193,0.278067
0.106222,0.278295
0.106185,0.278523
0.106274,0.278751
0.106303,0.27898
0.106308,0.279208
0.106312,0.279436
0.10636,0.279665
0.10634,0.279893
0.106377,0.280121
0.106391,0.28035
0.106416,0.280578
0.106462,0.280806
