V_vs_Li,Q_mAh
0.103706,0.0800317
0.103703,0.0801575
0.103711,0.0802834
0.103703,0.0804092
0.103717,0.080535
0.103705,0.0806609
0.103706,0.0807867
0.103706,0.0809125
0.103711,0.0810384
0.103713,0.0811642
0.103697,0.08129
0.1037,0.0814159
0.103698,0.0815417
0.103712,0.0816675
0.103708,0.0817934
0.103694,0.0819192
0.103693,0.0820451
0.103703,0.0821709
0.103703,0.0822967
0.103697,0.0824226
0.103693,0.0825484
0.103705,0.0826742
0.103703,0.0828001
0.103695,0.0829259
0.103707,0.0830517
0.1037,0.0831776
0.103709,0.0833034
0.103707,0.0834293
0.103699,0.0835551
0.103705,0.0836809
0.103703,0.0838068
0.103691,0.0839326
0.1037,0.0840584
0.103698,0.0841843
0.1037,0.0843101
0.103693,0.0844359
0.103691,0.0845618
0.103694,0.0846876
0.103697,0.0848135
0.103689,0.0849393
0.103686,0.0850651
0.103693,0.085191
0.103704,0.0853168
0.103691,0.0854426
0.1037,0.0855685
0.10369,0.0856943
0.103696,0.0858201
0.103693,0.085946
0.103691,0.0860718
0.103703,0.0861977
0.1037,0.0863235
0.103691,0.0864493
0.103693,0.0865752
0.103697,0.086701
0.103701,0.0868268
0.103694,0.0869527
0.103685,0.0870785
0.103682,0.0872043
0.103684,0.0873302
0.103694,0.087456
0.103692,0.0875818
0.10369,0.0877077
0.103691,0.0878335
0.10368,0.0879594
0.103689,0.0880852
0.103684,0.088211
0.103685,0.0883369
0.103674,0.0884627
0.103693,0.0885885
0.103681,0.0887144
0.103683,0.0888402
0.103678,0.088966
0.103677,0.0890919
0.103671,0.0892177
0.103678,0.0893436
0.103675,0.0894694
0.103677,0.0895952
0.103681,0.0897211
0.103674,0.0898469
0.103675,0.0899727
0.103675,0.0900986
0.103611,0.0902244
0.103611,0.0903502
0.103614,0.0904761
0.1036,0.0906019
0.103606,0.0907277
0.103602,0.0908536
0.103616,0.0909794
0.103606,0.0911053
0.103603,0.0912311
0.103621,0.0913569
0.10362,0.0914828
0.103614,0.0916086
0.103623,0.0917344
0.103612,0.0918603
0.103609,0.0919861
0.103612,0.0921119
0.103594,0.0922378
0.103594,0.0923636
0.103595,0.0924894
0.103598,0.0926153
0.103597,0.0927411
0.103597,0.092867
0.103594,0.0929928
0.103593,0.0931186
0.103587,0.0932445
0.103589,0.0933703
0.103596,0.0934961
0.103603,0.093622
0.103597,0.0937478
0.103591,0.0938736
0.103606,0.0939995
0.103589,0.0941253
0.103603,0.0942511
0.103604,0.094377
0.103603,0.0945028
0.103614,0.0946286
0.103605,0.0947545
0.103604,0.0948803
0.103608,0.0950062
0.103595,0.095132
0.103601,0.0952578
0.103601,0.0953837
0.103606,0.0955095
0.103607,0.0956353
0.103601,0.0957612
0.103594,0.095887
0.103608,0.0960128
0.103607,0.0961387
0.103594,0.0962645
0.103596,0.0963903
0.103597,0.0965162
0.103593,0.096642
0.103595,0.0967678
0.10359,0.0968937
0.103603,0.0970195
0.103593,0.0971454
0.103597,0.0972712
0.103596,0.097397
0.103588,0.0975229
0.103599,0.0976487
0.103598,0.0977745
0.103597,0.0979004
0.103602,0.0980262
0.103583,0.098152
0.103595,0.0982779
0.1036,0.0984037
0.103594,0.0985295
0.103598,0.0986554
0.103589,0.0987812
0.103589,0.0989071
0.103597,0.0990329
0.1036,0.0991587
0.103591,0.0992846
0.103603,0.0994104
0.103598,0.0995362
0.10359,0.0996621
0.103596,0.0997879
0.103594,0.0999137
0.103586,0.10004
0.103585,0.100165
0.103589,0.100291
0.103583,0.100417
0.10358,0.100543
0.103594,0.100669
0.103594,0.100795
0.103586,0.10092
0.103586,0.101046
0.103593,0.101172
0.103591,0.101298
0.103585,0.101424
0.103591,0.10155
0.103583,0.101675
0.103591,0.101801
0.103585,0.101927
0.103583,0.102053
0.103566,0.102179
0.103586,0.102305
0.10358,0.10243
0.103578,0.102556
0.103587,0.102682
0.103574,0.102808
0.10359,0.102934
0.103589,0.10306
0.103586,0.103185
0.103589,0.103311
0.103587,0.103437
0.1036,0.103563
0.10359,0.103689
0.103597,0.103815
0.103586,0.103941
0.103585,0.104066
0.103582,0.104192
0.103591,0.104318
0.103592,0.104444
