V_vs_Li,Q_mAh
0.189499,0.157604
0.189609,0.157817
0.189703,0.158031
0.189819,0.158244
0.189924,0.158458
0.190028,0.158671
0.190122,0.158885
0.190246,0.159098
0.190347,0.159312
0.190436,0.159526
0.190548,0.159739
0.190666,0.159953
0.190757,0.160166
0.190875,0.16038
0.190958,0.160593
0.191078,0.160807
0.191168,0.161021
0.191268,0.161234
0.191394,0.161448
0.191488,0.161661
0.191587,0.161875
0.191696,0.162088
0.191792,0.162302
0.191914,0.162515
0.19202,0.162729
0.192123,0.162942
0.192203,0.163156
0.192307,0.16337
0.192423,0.163583
0.192507,0.163797
0.192623,0.16401
0.192716,0.164224
0.192825,0.164437
0.19291,0.164651
0.193012,0.164864
0.193134,0.165078
0.193231,0.165292
0.193327,0.165505
0.193445,0.165719
0.193544,0.165932
0.19365,0.166146
0.193717,0.166359
0.193846,0.166573
0.193943,0.166786
0.194039,0.167
0.194136,0.167214
0.194232,0.167427
0.194341,0.167641
0.194434,0.167854
0.194528,0.168068
0.19463,0.168281
0.194736,0.168495
0.194844,0.168708
0.194943,0.168922
0.195043,0.169136
0.195118,0.169349
0.195239,0.169563
0.195321,0.169776
0.195436,0.16999
0.195522,0.170203
0.195624,0.170417
0.195729,0.17063
0.195825,0.170844
0.195924,0.171058
0.196027,0.171271
0.196103,0.171485
0.196201,0.171698
0.196306,0.171912
0.196397,0.172125
0.196495,0.172339
0.196608,0.172552
0.196699,0.172766
0.196772,0.17298
0.196883,0.173193
0.196975,0.173407
0.197072,0.17362
0.197187,0.173834
0.197264,0.174047
0.197376,0.174261
0.197446,0.174474
0.197552,0.174688
0.197656,0.174902
0.197756,0.175115
0.197839,0.175329
0.19794,0.175542
0.198043,0.175756
0.198112,0.175969
0.198229,0.176183
0.198325,0.176396
0.19842,0.17661
0.198518,0.176824
0.198602,0.177037
0.198697,0.177251
0.198781,0.177464
0.198894,0.177678
0.198971,0.177891
0.199076,0.178105
0.199171,0.178318
0.19924,0.178532
0.199352,0.178745
0.199458,0.178959
0.199518,0.179173
0.199633,0.179386
0.199726,0.1796
0.199802,0.179813
0.19992,0.180027
0.199992,0.18024
0.200096,0.180454
0.200185,0.180668
0.200253,0.180881
0.200359,0.181095
0.200462,0.181308
0.200551,0.181522
0.200622,0.181735
0.200726,0.181949
0.200802,0.182162
0.2009,0.182376
0.200986,0.18259
0.201103,0.182803
0.201172,0.183017
0.20125,0.18323
0.201353,0.183444
0.201456,0.183657
0.201533,0.183871
0.201617,0.184084
0.201718,0.184298
0.201819,0.184512
0.201915,0.184725
0.20199,0.184939
0.202068,0.185152
0.202172,0.185366
0.202249,0.185579
0.202347,0.185793
0.202427,0.186006
0.202518,0.18622
0.20261,0.186434
0.202708,0.186647
0.202797,0.186861
0.202892,0.187074
0.202975,0.187288
0.203041,0.187501
0.20315,0.187715
0.20323,0.187928
0.203309,0.188142
0.203415,0.188355
0.203492,0.188569
0.203572,0.188783
0.203667,0.188996
0.203748,0.18921
0.203845,0.189423
0.203926,0.189637
0.20401,0.18985
0.204088,0.190064
0.204197,0.190277
0.204285,0.190491
0.204349,0.190705
0.204456,0.190918
0.204555,0.191132
0.20462,0.191345
0.204704,0.191559
0.204789,0.191772
0.20487,0.191986
0.204976,0.192199
0.205054,0.192413
0.205123,0.192627
0.205216,0.19284
0.205296,0.193054
0.205381,0.193267
0.205465,0.193481
0.205548,0.193694
0.205656,0.193908
0.20572,0.194121
0.205831,0.194335
0.205912,0.194549
0.205987,0.194762
0.206049,0.194976
0.206155,0.195189
0.20622,0.195403
0.206314,0.195616
0.2064,0.19583
0.206492,0.196043
0.206587,0.196257
0.206656,0.196471
0.206728,0.196684
0.206814,0.196898
0.206909,0.197111
0.206994,0.197325
0.207066,0.197538
0.207154,0.197752
0.207233,0.197965
0.207326,0.198179
0.207408,0.198393
0.207476,0.198606
0.207569,0.19882
0.207646,0.199033
0.207734,0.199247
0.207822,0.19946
0.207873,0.199674
0.207979,0.199887
0.208054,0.200101
0.208128,0.200315
0.208221,0.200528
0.208289,0.200742
0.208381,0.200955
0.208473,0.201169
0.208536,0.201382
0.208616,0.201596
0.208697,0.201809
0.208774,0.202023
0.208857,0.202237
0.208951,0.20245
0.209024,0.202664
0.209094,0.202877
0.209183,0.203091
0.209271,0.203304
0.209337,0.203518
0.209428,0.203731
0.209483,0.203945
0.209586,0.204159
0.209648,0.204372
0.209751,0.204586
0.209819,0.204799
0.209908,0.205013
0.209995,0.205226
0.210046,0.20544
0.210126,0.205653
0.210193,0.205867
0.210284,0.206081
0.210383,0.206294
0.210432,0.206508
0.210538,0.206721
0.210609,0.206935
0.210678,0.207148
0.210772,0.207362
0.210838,0.207575
0.210913,0.207789
0.210992,0.208003
0.211076,0.208216
